,m3,E/M
2019-11-01,31.46,E
2019-11-02,21.76,E
2019-11-03,18.02,E
2019-11-04,29.98,E
2019-11-05,28.59,E
2019-11-06,25.04,E
2019-11-07,26.64,E
2019-11-08,31.46,E
2019-11-09,21.76,E
2019-11-10,18.02,E
2019-11-11,29.98,E
2019-11-12,28.59,E
2019-11-13,25.04,E
2019-11-14,26.64,E
2019-11-15,31.46,E
2019-11-16,21.76,E
2019-11-17,18.02,E
2019-11-18,29.98,E
2019-11-19,28.59,E
2019-11-20,25.04,E
2019-11-21,26.64,E
2019-11-22,31.46,E
2019-11-23,21.76,E
2019-11-24,18.02,E
2019-11-25,29.98,E
2019-11-26,28.59,E
2019-11-27,25.04,E
2019-11-28,26.64,E
2019-11-29,31.46,E
2019-11-30,21.76,E
2019-12-01,12.78,E
2019-12-02,21.27,E
2019-12-03,20.28,E
2019-12-04,17.76,E
2019-12-05,18.89,E
2019-12-06,22.31,E
2019-12-07,15.44,E
2019-12-08,12.78,E
2019-12-09,21.27,E
2019-12-10,20.28,E
2019-12-11,17.76,E
2019-12-12,18.89,E
2019-12-13,22.31,E
2019-12-14,15.44,E
2019-12-15,12.78,E
2019-12-16,21.27,E
2019-12-17,20.28,E
2019-12-18,17.76,E
2019-12-19,18.89,E
2019-12-20,22.31,E
2019-12-21,15.44,E
2019-12-22,12.78,E
2019-12-23,21.27,E
2019-12-24,20.28,E
2019-12-25,17.76,E
2019-12-26,18.89,E
2019-12-27,22.31,E
2019-12-28,15.44,E
2019-12-29,12.78,E
2019-12-30,21.27,E
2019-12-31,20.28,E
2020-01-01,23.06,E
2020-01-02,24.53,E
2020-01-03,28.97,E
2020-01-04,20.04,E
2020-01-05,16.6,E
2020-01-06,27.61,E
2020-01-07,26.33,E
2020-01-08,23.06,E
2020-01-09,24.53,E
2020-01-10,28.97,E
2020-01-11,20.04,E
2020-01-12,16.6,E
2020-01-13,27.61,E
2020-01-14,26.33,E
2020-01-15,23.06,E
2020-01-16,24.53,E
2020-01-17,28.97,E
2020-01-18,20.04,E
2020-01-19,16.6,E
2020-01-20,27.61,E
2020-01-21,26.33,E
2020-01-22,23.06,E
2020-01-23,24.53,E
2020-01-24,28.97,E
