,m3,Nm3,kWh,E/M
2017-10-15,265.0,326.0,3736.0,E
2017-10-16,265.0,326.0,3736.0,E
2017-10-17,265.0,326.0,3736.0,E
2017-10-18,265.0,326.0,3736.0,E
2017-10-19,265.0,326.0,3736.0,E
2017-10-20,265.0,326.0,3736.0,E
2017-10-21,265.0,326.0,3736.0,E
2017-10-22,265.0,326.0,3736.0,E
2017-10-23,265.0,326.0,3736.0,E
2017-10-24,265.0,326.0,3736.0,E
2017-10-25,815.0,1013.0,11614.0,E
2017-10-26,815.0,1013.0,11614.0,E
2017-10-27,815.0,1013.0,11614.0,E
2017-10-28,815.0,1013.0,11614.0,E
2017-10-29,815.0,1013.0,11614.0,E
2017-10-30,815.0,1013.0,11614.0,E
2017-10-31,815.0,1013.0,11614.0,E
2017-11-01,815.0,1013.0,11614.0,E
2017-11-02,815.0,1013.0,11614.0,E
2017-11-03,815.0,1013.0,11614.0,E
2017-11-04,815.0,1013.0,11614.0,E
2017-11-05,815.0,1013.0,11614.0,E
2017-11-06,815.0,1013.0,11614.0,E
2017-11-07,815.0,1013.0,11614.0,E
2017-11-08,815.0,1013.0,11614.0,E
2017-11-09,815.0,1013.0,11614.0,E
2017-11-10,815.0,1013.0,11614.0,E
2017-11-11,815.0,1013.0,11614.0,E
2017-11-12,815.0,1013.0,11614.0,E
2017-11-13,815.0,1013.0,11614.0,E
2017-11-14,815.0,1013.0,11614.0,E
2017-11-15,815.0,1013.0,11614.0,E
2017-11-16,815.0,1013.0,11614.0,E
2017-11-17,815.0,1013.0,11614.0,E
2017-11-18,815.0,1013.0,11614.0,E
2017-11-19,815.0,1013.0,11614.0,E
2017-11-20,815.0,1013.0,11614.0,E
2017-11-21,815.0,1013.0,11614.0,E
2017-11-22,815.0,1013.0,11614.0,E
2017-11-23,815.0,1013.0,11614.0,E
2017-11-24,815.0,1013.0,11614.0,E
2017-11-25,1434.0,1804.0,20589.0,E
2017-11-26,1434.0,1804.0,20589.0,E
2017-11-27,1434.0,1804.0,20589.0,E
2017-11-28,1434.0,1804.0,20589.0,E
2017-11-29,1434.0,1804.0,20589.0,E
2017-11-30,1434.0,1804.0,20589.0,E
2017-12-01,1434.0,1804.0,20589.0,E
2017-12-02,1434.0,1804.0,20589.0,E
2017-12-03,1434.0,1804.0,20589.0,E
2017-12-04,1434.0,1804.0,20589.0,E
2017-12-05,1434.0,1804.0,20589.0,E
2017-12-06,1434.0,1804.0,20589.0,E
2017-12-07,1434.0,1804.0,20589.0,E
2017-12-08,1434.0,1804.0,20589.0,E
2017-12-09,1434.0,1804.0,20589.0,E
2017-12-10,1434.0,1804.0,20589.0,E
2017-12-11,1434.0,1804.0,20589.0,E
2017-12-12,1434.0,1804.0,20589.0,E
2017-12-13,1434.0,1804.0,20589.0,E
2017-12-14,1434.0,1804.0,20589.0,E
2017-12-15,1434.0,1804.0,20589.0,E
2017-12-16,1434.0,1804.0,20589.0,E
2017-12-17,1434.0,1804.0,20589.0,E
2017-12-18,1434.0,1804.0,20589.0,E
2017-12-19,1434.0,1804.0,20589.0,E
2017-12-20,1434.0,1804.0,20589.0,E
2017-12-21,1434.0,1804.0,20589.0,E
2017-12-22,1434.0,1804.0,20589.0,E
2017-12-23,1434.0,1804.0,20589.0,E
2017-12-24,1434.0,1804.0,20589.0,E
2017-12-25,1093.0,1367.0,15616.0,E
2017-12-26,1093.0,1367.0,15616.0,E
2017-12-27,1093.0,1367.0,15616.0,E
2017-12-28,1093.0,1367.0,15616.0,E
2017-12-29,1093.0,1367.0,15616.0,E
2017-12-30,1093.0,1367.0,15616.0,E
